Time,V_in,V_out
1.7000000000000006,-1.0,-0.16054296824386607
1.7100000000000006,-1.0,-0.16263898974049645
1.7200000000000006,-1.0,-0.16472977773061062
1.7300000000000006,-1.0,-0.16681534528104894
1.7400000000000007,-1.0,-0.16889570542472143
1.7500000000000007,-1.0,-0.170970871160693
1.7600000000000007,-1.0,-0.17304085545426912
1.7700000000000007,-1.0,-0.17510567123708104
1.7800000000000007,-1.0,-0.1771653314112102
1.7900000000000007,-1.0,-0.1792198488594092
1.8000000000000007,-1.0,-0.1812692364237006
1.8100000000000007,-1.0,-0.18331350691349607
1.8200000000000007,-1.0,-0.18535267310687903
1.8300000000000007,-1.0,-0.18738674775081826
1.8400000000000007,-1.0,-0.1894157435613816
1.8500000000000008,-1.0,-0.1914396732239497
1.8600000000000008,-1.0,-0.1934585493918941
1.8700000000000008,-1.0,-0.1954723846750483
1.8800000000000008,-1.0,-0.19748119165751848
1.8900000000000008,-1.0,-0.19948498289432448
1.9000000000000008,-1.0,-0.20148377090922595
1.9100000000000008,-1.0,-0.20347756819482468
1.9200000000000008,-1.0,-0.2054663872126671
1.9300000000000008,-1.0,-0.20745024039334664
1.9400000000000008,-1.0,-0.20942914013638939
1.9500000000000008,-1.0,-0.21140309880511343
1.9600000000000009,-1.0,-0.2133721287416495
1.9700000000000009,-1.0,-0.21533624224784356
1.9800000000000009,-1.0,-0.21729545160499197
1.9900000000000009,-1.0,-0.21924974758707258
2.000000000000001,1.0,-0.2211991051248007
2.0100000000000007,1.0,-0.21814993423366763
2.020000000000001,1.0,-0.21510836294634014
2.030000000000001,1.0,-0.21207438609015258
2.040000000000001,1.0,-0.2090479847027243
2.0500000000000007,1.0,-0.20602913986921306
2.060000000000001,1.0,-0.20301783272166501
2.070000000000001,1.0,-0.20001404443925455
2.080000000000001,1.0,-0.19701775624866433
2.0900000000000007,1.0,-0.19402894942308693
2.100000000000001,1.0,-0.1910476052820658
2.110000000000001,1.0,-0.18807370519251496
2.120000000000001,1.0,-0.18510723056772976
2.130000000000001,1.0,-0.18214816286672517
2.140000000000001,1.0,-0.1791964835955754
2.1500000000000012,1.0,-0.17625217430666393
2.160000000000001,1.0,-0.1733152165972637
2.170000000000001,1.0,-0.17038559211178667
2.180000000000001,1.0,-0.1674632825374675
2.1900000000000013,1.0,-0.16454826959445712
2.200000000000001,1.0,-0.16164053506070938
2.210000000000001,1.0,-0.1587400607620173
2.220000000000001,1.0,-0.1558468285699184
2.2300000000000013,1.0,-0.15296082040157516
2.240000000000001,1.0,-0.15008201821965492
